objective_id,task_id,sub_task_id,country,final_copy,objective_title,task_title,sub_task_title
1,1.2,1.2.1,EU,"The Joule Models, developed by Terajoule Energy, deliver a comprehensive European energy analysis that spans the entire value chain, including electricity, hydrogen, methane, synthetic fuels, CO₂, and offshore wind networks. Leveraging state‑of‑the‑art tools such as PLEXOS, PyPSA, ANTARES and SAint, the model evaluates investment pathways aimed at achieving EU climate neutrality by 2050. The analysis adopts a multisectoral planning approach, integrating diverse energy sources and technological solutions to assess the resilience and sustainability of the future energy supply. Scenarios explore the interaction of electricity generation, hydrogen production, methane utilization, and synthetic fuel deployment, providing a holistic view of how these sectors can collectively meet the EU’s decarbonisation targets. The high‑level findings underscore the importance of coordinated investments across sectors to ensure a balanced, secure, and low‑carbon energy system for the European Union.",Executive Summary,Executive Summary,Executive Summary
1,1.3,1.3.1,EU,"This chapter outlines the overarching purpose of Terajoule’s inaugural proprietary energy model, which serves as a foundational vision of Europe’s electricity system through 2050. The model establishes a baseline scenario that captures the current trajectory of generation capacity, demand patterns, and system flexibility, enabling stakeholders within Terajoule to benchmark future developments. By providing a consistent analytical framework, the model supports internal activities such as testing alternative energy pathways, guiding research and development initiatives, and training AI agents specialized in energy modelling. Moreover, it facilitates the generation of detailed hourly demand profiles that reflect projected economic growth and consumer behaviour, allowing users to explore a range of plausible future demand scenarios. In essence, this baseline model acts as the core reference point for all subsequent scenario analysis, model validation, and AI‑driven forecasting efforts related to the European energy landscape.",Executive Summary,Purpose Summary,Purpose Summary
1,1.1,1.1.1,EU,"Welcome to the Joule report, a project by Terajoule that combines advanced modelling with cutting‑edge digital reporting to deliver an enhanced user experience for the European Union. This BETA‑level iteration showcases how a dynamic report can compress extensive energy system data into a navigable format, allowing users to explore charts and images both horizontally and vertically. AI‑powered visualisations respond to natural‑language prompts, generating custom charts on demand in about a minute, while users can engage with the Energy Snake game during processing. The report features animated methodology diagrams, flow maps, and standard bar and line charts, visualising supply‑demand balances across up to 15 nodes for hydrogen, electricity, methane and synthetic liquids, covering residential, tertiary, industrial and transport sectors, including electric‑vehicle behaviour. Weather, demographics and industrial activity are integrated at each node, and users can drill down to specific carriers, countries or categories, with the narrative aligned to the displayed visualisations. This executive summary introduces the capabilities and scope of the Joule digital report for the EU.",Executive Summary,Executive Summary,Executive Summary
1,1.4,1.4.1,EU,"The hydrogen sector within the European Union is currently in a foundational planning phase, with its existing infrastructure primarily comprising Steam Methane Reformers (SMRs) and associated local distribution networks. These SMR facilities, which currently produce hydrogen, are slated for a complete phase-out by 2050, necessitating the development and construction of new hydrogen production infrastructure. The EU is actively engaged in a comprehensive planning process to develop its hydrogen ecosystem, recognizing its strategic importance in the future energy landscape. 

Hydrogen's role is rapidly expanding across multiple sectors. Industrially, it is becoming increasingly critical for applications in refineries, steel production, and the manufacturing of ammonia and methanol. The stable and consistent supply required by these industrial processes is anticipated to be secured through long-term contracts or dedicated electricity provisions. Beyond industrial uses, hydrogen is projected to play a significant role in replacing CO2-emitting primary energy sources in electricity generation, transport, and the production of synthetic fuels, thereby serving as a key component in the future energy mix.

The future hydrogen system is envisioned to integrate several core components: electrolysers for producing hydrogen from water, dedicated hydrogen storage facilities, and dedicated renewable energy sources to power the electrolysis process. The topological design of the hydrogen system is being modelled to mirror that of the electricity system, requiring a nodal alignment to efficiently determine and manage electrolytic supply. Looking towards 2050, the potential for techno-economically viable extraction of white hydrogen from geological sources, for instance in countries like France, is also under consideration, contingent on the development of appropriate extraction methods.

To drive this transition, the EU has established ambitious targets and launched significant initiatives. Notably, the European Commission has approved a €998 million scheme to support renewable hydrogen production in the Netherlands, targeting at least 200MW of electrolysis capacity by 2024, expanding to 500MW by 2025, and an overarching goal of 3-4GW by 2030. Concurrently, the EU has sanctioned €1.4 billion in subsidies for various hydrogen projects across the bloc, designed to advance clean energy technologies. Overall, the EU's Hydrogen Strategy outlines ambitious production targets of 6GW of electrolysis capacity by 2024, yielding up to 1 million tonnes of renewable hydrogen, and a substantial increase to 40GW capacity producing 10 million tonnes of renewable hydrogen by 2030. Additionally, the EU aims to import 10 million tonnes of renewable hydrogen annually by 2030 to meet anticipated demand. While concerns regarding the feasibility of these 2030 targets have been expressed, the European Commission remains committed to achieving them.",Executive Summary,Sectors Modelled,Hydrogen
1,1.4,1.4.2,EU,"The electricity sector in the European Union is undergoing rapid transformation, driven by decarbonisation, sector coupling and the integration of variable renewable energy sources. By the first half of 2024 wind and solar together supplied 30 % of the EU’s electricity, overtaking fossil‑fuel generation which fell to 27 %. This shift reflects accelerated deployment of renewable capacity and the impact of recent market reforms aimed at stabilising prices and encouraging low‑carbon generation. Decarbonising power generation is a core requirement for the EU’s 2050 carbon‑neutral target; projections indicate that by 2050 electricity generation will be almost entirely free of carbon emissions, with the majority of output coming from wind, solar and other variable renewables. The sector also supports indirect electrification pathways, providing electricity for hydrogen production and synthetic fuels, thereby linking power generation to broader energy demand. To balance the increasing share of intermittent renewables, the EU will need additional flexibility resources, including battery storage, demand‑side response and expanded grid infrastructure. The coupling of electricity with other sectors, notably transport and industry, is accelerating demand, reinforcing the need for a resilient, low‑carbon electricity system that can meet both direct and indirect electrification needs while maintaining system stability.",Executive Summary,Sectors Modelled,Electricity
1,1.4,1.4.3,EU,"The EU methane sector is emerging as a pivotal element of the energy transition, bridging the decline of coal, lignite and oil with the expansion of renewables and hydrogen. As conventional fossil‑fuel extraction is scheduled to cease by 2050, natural gas will no longer serve as a primary source of methane, prompting a shift toward biomethane and other low‑carbon gas alternatives. This transition is quantified by the EU’s commitment to cut methane emissions by 30 % by 2030 relative to 2020 levels, a target embedded in the 2024 regulation that mandates measurement‑based monitoring, reporting and verification (MRV) and leak detection and repair (LDAR) for oil, gas and coal operations. The regulation, effective July 2024, also extends to imported fossil fuels, requiring compliance by 2027 and leveraging satellite monitoring for “super‑emitting” events.  

Cross‑sectoral impacts are evident across electricity, heating and hydrogen production. During periods of prolonged low wind and solar output – the so‑called dunkelflaute, typically lasting up to two weeks – methane‑derived electricity and hydrogen provide critical backup, sustaining supply security. Biomethane, produced from waste and agricultural residues, is projected to see a pronounced uptake as the EU decarbonises its gas system, reinforcing the role of gas infrastructure while reducing net emissions.  

The regulatory framework enhances transparency and accountability, driving technological innovation in emissions detection and contributing to broader climate objectives under the European Green Deal and REPowerEU plan. By tightening standards for both domestic and imported methane sources, the EU aims to improve air quality, public health and economic resilience, while positioning itself as a leader in global methane reduction efforts, exemplified by its role in the Global Methane Pledge which targets a 30 % cut by 2030 across more than 100 participating countries.",Executive Summary,Sectors Modelled,Methane
1,1.4,1.4.4,EU,"The Offshore Hubs sector in the European Union is characterised by a nascent but rapidly expanding offshore electricity network that is intended to serve as a backbone for trans‑European power distribution.  The European Commission’s offshore strategy outlines a voluntary 300 GW capacity ambition for the region, while member‑state commitments target 111 GW of offshore renewable generation by 2030 and between 281 GW and 354 GW by 2050.  These figures provide a quantitative benchmark against which the current and planned offshore hub infrastructure can be assessed.

The Offshore Network Development Plan (ONDP), produced by ENTSO‑E as part of the Ten‑Year Network Development Plan, translates the non‑binding agreements of January 2023 into concrete transmission equipment requirements and cost estimates.  The ONDP emphasizes integrated on‑shore/off‑shore planning, cross‑border cost‑sharing, and the deployment of high‑voltage direct‑current (HVDC) links.  It also highlights the need for coordinated investment in port facilities – estimated at €6.5 billion by 2030 – to support the assembly, installation, and maintenance of offshore wind farms.

Technological innovation is a key driver: floating offshore wind is projected to reach 7 GW by 2030, extending development into deeper waters where fixed foundations are not feasible.  HVDC technology underpins the envisioned hub architecture, enabling efficient long‑distance power transfer and facilitating hybrid projects that combine generation and transmission assets across multiple jurisdictions.

Market‑design elements underpin the sector’s economic potential.  Integrated planning mechanisms aim to align offshore hub development with environmental objectives and resource optimisation.  Cross‑border coordination is codified in the revised TEN‑E Regulation, which provides a framework for shared financing and operational responsibilities.  Investment stability is reinforced through revenue‑stabilisation tools such as Contracts for Difference, which are expected to lower financing costs and attract private capital.

Overall, the offshore hubs sector is moving from a limited set of radial connections toward a more interconnected, high‑capacity grid that could distribute up to several hundred gigawatts of renewable power across the EU.  The alignment of capacity targets, infrastructure investment, and regulatory mechanisms suggests a substantial economic upside, provided the planned transmission assets and supporting ports are realised on schedule.",Executive Summary,Sectors Modelled,Offshore Hubs
1,1.4,1.4.5,EU,"The electric vehicles (EVs) sector in the EU presents a complex dynamic within the electricity system, characterized by both significant load creation at the distribution level and the future potential for system balancing. Modelling of this sector primarily focuses on passenger electric vehicles, considering their unique operational patterns compared to other transport types like trucks and buses, which are anticipated to create a more predictable load. Passenger EVs are modelled considering diverse charging behaviors, including home charging, street charging, and office charging. A granular approach is taken to demand profiles, dissecting urban areas based on demographics and vehicle usage patterns, encompassing activities such as working from home, automated car sharing services, school runs, and evening activities.

Current market trends in the EU indicate a notable shift towards electrification. As of June 2024, battery-electric vehicles (BEVs) constituted 14.4% of the EU car market, reflecting a steady increase in adoption. Hybrid-electric vehicles (HEVs) have also seen substantial growth, reaching 29.5% of the market share, while plug-in hybrids (PHEVs) experienced a decline to 6.1%. This growing penetration is supported by an expanding charging infrastructure, with new legislation mandating the installation of fast-recharging stations every 60 kilometers along major highways by 2025 across the EU.

Technological advancements have further bolstered the attractiveness of EVs. The year 2024 witnessed improvements in battery efficiency and the introduction of a wider variety of vehicle models, including SUVs and city cars, catering to diverse consumer preferences. These developments are contributing to a broader shift in consumer preferences towards electric vehicles, driven by increasing public awareness and product availability. Regionally, adoption rates vary, with Northern and Western European countries such as Norway, the Netherlands, Germany, and France leading in EV uptake. Southern and Eastern European regions, including Catalonia in Spain and Lombardy in Italy, are progressively improving their adoption levels. The ongoing investment in charging infrastructure and continuous technological innovation in battery technology and vehicle design are essential factors underpinning the sector's evolution, enhancing both the efficiency and cost-effectiveness of electric mobility within the EU.",Executive Summary,Sectors Modelled,Electric Vehicles
2,2.2,2.2.1,EU,"The modelling approach for the EU energy system is executed in a two‑stage optimisation framework. In the first stage, an expansion model determines the optimal capacity additions across electricity, hydrogen and transport infrastructures. Candidate technologies for electricity generation include utility‑scale solar PV, offshore wind (both fixed‑bottom and floating), onshore wind, small modular nuclear reactors (SMR) and battery storage at both utility and building levels. For hydrogen, the model can invest in methane pyrolysis or water electrolysers, as well as hydrogen storage facilities. It also decides on the construction of synthetic fuel production plants for kerosene and methanol, which are sized according to downstream hydrogen availability and captured CO₂ volumes. Electricity transmission assets are selected from the TYNDP scenarios, while hydrogen transport options comprise refurbishing existing methane pipelines or building new dedicated hydrogen pipelines; if a methane line is refurbished for hydrogen, its capacity is removed from the methane transport pool.  

The second stage is a dispatch model that uses the capacity portfolio from the expansion step as input to simulate hourly operation. This includes detailed representation of demand sectors, residential, tertiary, industry and transport, for each energy carrier. Each sector is linked to its respective market via a wheeling cost that captures taxes and congestion charges, guiding the model’s choice between utility‑scale and prosumer‑level investments. Electric vehicle fleets are modelled with vehicle‑to‑grid capabilities, allowing them to provide flexibility services.  

Because storage investments are often under‑represented in the expansion results, a post‑processing adjustment is applied to reinforce storage capacity where needed to ensure system adequacy. The combined two‑step process thus yields a cost‑optimal, sector‑coupled description of the EU’s future energy infrastructure, reflecting technology options, sectoral demand, and the interplay between electricity and hydrogen networks.",Modelling Methodologies,Modelling Approach,Modelling Approach
2,2.1,2.1.1,EU,"The high‑level architecture of the EU modelling framework is built around a unified spatial topology defined at the NUTS‑2 level, which partitions the Union into regions of comparable size and socio‑economic relevance. This common grid underpins all energy carriers, electricity (including offshore hubs), hydrogen, and electric vehicles, ensuring consistent inter‑regional linkages and facilitating integrated scenario analysis.

Data ingestion begins with the latest transmission system data for each carrier. Electricity network topology and parameters are sourced from ENTSO‑E, hydrogen pipelines from ENTSOG, and complementary grid attributes from the SCI‑grid repository. These datasets are harmonised onto the NUTS‑2 mesh, creating carrier‑specific base grids that share node identifiers and adjacency structures.

Offshore electricity infrastructure is modelled by attaching additional nodes to the coastal NUTS‑2 regions of each member state. While not every country activates offshore zones in a given scenario, the offshore node set remains in the model to allow investment decisions and capacity expansion analysis. Offshore hubs are linked to the on‑shore grid through dedicated interconnectors, with capacity limits derived from current offshore wind connection data where available.

Hydrogen distribution follows the same NUTS‑2 topology, with pipelines mapped onto the existing electricity grid where co‑location is feasible. The model incorporates conversion facilities (electrolysers, power‑to‑gas units) at strategic nodes, enabling cross‑carrier flow of energy.

The electric‑vehicle sector is represented as a demand and flexibility layer attached to the electricity nodes. Vehicle charging demand is allocated to NUTS‑2 regions based on population and vehicle registration statistics, while vehicle‑to‑grid (V2G) capabilities are modelled as distributed storage at the same nodes.

Overall, the architecture provides a coherent, regionally granular platform that integrates multiple carriers, supports offshore investment modelling, and leverages authoritative data sources to reflect the current state of the EU energy system.",Modelling Methodologies,Modelling Methodologies,Modelling Methodologies
