Month,Day,Aggregated_IE00 e_kerosene e_kerosene
1,1,1055.389381026389
1,2,1051.3841082331198
1,3,1047.3788354398507
1,4,1043.3735626465818
1,5,1039.3682898533127
1,6,1035.3630170600434
1,7,1031.3577442667745
1,8,1027.3524714735054
1,9,1023.3471986802366
1,10,1019.3419258869676
1,11,1015.3366530936986
1,12,1011.3313803004295
1,13,1007.3261075071601
1,14,1003.3208347138913
1,15,999.3155619206224
1,16,995.3102891273534
1,17,991.3050163340844
1,18,987.2997435408153
1,19,983.2944707475463
1,20,979.2891979542773
1,21,975.2839251610081
1,22,971.2786523677391
1,23,967.2733795744701
1,24,963.2681067812013
1,25,959.2628339879324
1,26,955.257561194663
1,27,951.2522884013939
1,28,947.2470156081249
1,29,943.2417428148559
1,30,939.236470021587
1,31,935.2311972283179
2,1,931.2259244350488
2,2,939.2537341284545
2,3,947.28154382186
2,4,955.3093535152657
2,5,963.3371632086713
2,6,971.3649729020768
2,7,979.3927825954823
2,8,987.4205922888879
2,9,995.4484019822936
2,10,1003.4762116756992
2,11,1011.5040213691049
2,12,1019.5318310625103
2,13,1027.5596407559158
2,14,1035.5874504493215
2,15,1043.6152601427273
2,16,1051.6430698361328
2,17,1059.6708795295383
2,18,1067.698689222944
2,19,1075.7264989163496
2,20,1083.754308609755
2,21,1091.7821183031606
2,22,1099.8099279965666
2,23,1107.837737689972
2,24,1115.8655473833776
2,25,1123.893357076783
2,26,1131.9211667701888
2,27,1139.9489764635944
2,28,1147.976786157
3,1,1164.0324055438111
3,2,1172.042951130349
3,3,1180.0534967168871
3,4,1188.0640423034251
3,5,1196.0745878899631
3,6,1204.0851334765011
3,7,1212.0956790630391
3,8,1220.1062246495776
3,9,1228.1167702361154
3,10,1236.1273158226536
3,11,1244.1378614091916
3,12,1252.1484069957294
3,13,1260.1589525822676
3,14,1268.1694981688056
3,15,1276.180043755344
3,16,1284.1905893418818
3,17,1292.20113492842
3,18,1300.2116805149578
3,19,1308.222226101496
3,20,1316.232771688034
3,21,1324.243317274572
3,22,1332.2538628611103
3,23,1340.2644084476483
3,24,1348.2749540341865
3,25,1356.2854996207243
3,26,1364.2960452072623
3,27,1372.3065907938005
3,28,1380.3171363803385
3,29,1388.3276819668765
3,30,1396.3382275534143
3,31,1404.3487731399528
4,1,1412.3593187264908
4,2,1418.5674915560576
4,3,1424.7756643856249
4,4,1430.9838372151917
4,5,1437.1920100447585
4,6,1443.4001828743255
4,7,1449.6083557038926
4,8,1455.8165285334599
4,9,1462.0247013630267
4,10,1468.2328741925937
4,11,1474.4410470221608
4,12,1480.6492198517274
4,13,1486.8573926812949
4,14,1493.065565510862
4,15,1499.2737383404285
4,16,1505.4819111699956
4,17,1511.6900839995626
4,18,1517.8982568291294
4,19,1524.1064296586962
4,20,1530.3146024882637
4,21,1536.5227753178306
4,22,1542.7309481473974
4,23,1548.9391209769647
4,24,1555.1472938065315
4,25,1561.3554666360985
4,26,1567.5636394656656
4,27,1573.7718122952326
4,28,1579.9799851247997
4,29,1586.1881579543667
4,30,1592.3963307839338
5,1,1598.6045036135004
5,2,1602.1091173076109
5,3,1605.6137310017214
5,4,1609.1183446958319
5,5,1612.622958389942
5,6,1616.1275720840524
5,7,1619.632185778163
5,8,1623.1367994722732
5,9,1626.6414131663835
5,10,1630.1460268604942
5,11,1633.650640554605
5,12,1637.155254248715
5,13,1640.659867942825
5,14,1644.1644816369355
5,15,1647.669095331046
5,16,1651.1737090251563
5,17,1654.678322719267
5,18,1658.1829364133773
5,19,1661.6875501074876
5,20,1665.1921638015983
5,21,1668.6967774957084
5,22,1672.2013911898187
5,23,1675.7060048839294
5,24,1679.2106185780397
5,25,1682.7152322721502
5,26,1686.2198459662607
5,27,1689.7244596603712
5,28,1693.2290733544808
5,29,1696.7336870485915
5,30,1700.2383007427022
5,31,1703.7429144368123
6,1,1707.2475281309228
6,2,1709.8342668099092
6,3,1712.4210054888954
6,4,1715.0077441678816
6,5,1717.5944828468682
6,6,1720.1812215258542
6,7,1722.7679602048402
6,8,1725.3546988838268
6,9,1727.9414375628132
6,10,1730.528176241799
6,11,1733.1149149207856
6,12,1735.7016535997716
6,13,1738.2883922787576
6,14,1740.8751309577444
6,15,1743.4618696367306
6,16,1746.0486083157166
6,17,1748.6353469947026
6,18,1751.2220856736892
6,19,1753.8088243526752
6,20,1756.3955630316616
6,21,1758.982301710648
6,22,1761.5690403896342
6,23,1764.1557790686204
6,24,1766.7425177476068
6,25,1769.3292564265928
6,26,1771.9159951055797
6,27,1774.5027337845652
6,28,1777.0894724635518
6,29,1779.6762111425378
6,30,1782.2629498215244
7,1,1784.8496885005104
7,2,1782.3463930047171
7,3,1779.843097508924
7,4,1777.339802013131
7,5,1774.8365065173377
7,6,1772.3332110215445
7,7,1769.8299155257512
7,8,1767.3266200299588
7,9,1764.8233245341653
7,10,1762.3200290383722
7,11,1759.8167335425787
7,12,1757.3134380467857
7,13,1754.8101425509929
7,14,1752.3068470551996
7,15,1749.8035515594065
7,16,1747.3002560636135
7,17,1744.7969605678202
7,18,1742.2936650720267
7,19,1739.7903695762336
7,20,1737.2870740804403
7,21,1734.7837785846475
7,22,1732.2804830888542
7,23,1729.7771875930612
7,24,1727.2738920972681
7,25,1724.7705966014748
7,26,1722.267301105682
7,27,1719.7640056098887
7,28,1717.2607101140954
7,29,1714.7574146183024
7,30,1712.2541191225093
7,31,1709.7508236267158
8,1,1707.2475281309228
8,2,1703.242255337654
8,3,1699.236982544385
8,4,1695.231709751116
8,5,1691.2264369578468
8,6,1687.2211641645774
8,7,1683.215891371309
8,8,1679.2106185780397
8,9,1675.2053457847705
8,10,1671.2000729915019
8,11,1667.1948001982328
8,12,1663.1895274049632
8,13,1659.1842546116943
8,14,1655.1789818184254
8,15,1651.1737090251563
8,16,1647.1684362318874
8,17,1643.1631634386185
8,18,1639.1578906453494
8,19,1635.1526178520805
8,20,1631.1473450588112
8,21,1627.1420722655423
8,22,1623.1367994722732
8,23,1619.131526679004
8,24,1615.1262538857354
8,25,1611.1209810924663
