Name,Node,Sector,Value,Split
AT heat_demand space_COM MW,AT,Space,12961626,0.83
AT heat_demand water_COM MW,AT,Water,2728207,0.17
BE heat_demand space_COM MW,BE,Space,26700999,0.89
BE heat_demand water_COM MW,BE,Water,3244992,0.11
BG heat_demand space_COM MW,BG,Space,2906748,0.73
BG heat_demand water_COM MW,BG,Water,1096705,0.27
CZ heat_demand space_COM MW,CZ,Space,15026643,0.88
CZ heat_demand water_COM MW,CZ,Water,2141182,0.12
DE heat_demand space_COM MW,DE,Space,168913130,0.86
DE heat_demand water_COM MW,DE,Water,27680739,0.14
DK heat_demand space_COM MW,DK,Space,8587345,0.85
DK heat_demand water_COM MW,DK,Water,1475984,0.15
EE heat_demand space_COM MW,EE,Space,2558857,0.90
EE heat_demand water_COM MW,EE,Water,277944,0.10
ES heat_demand space_COM MW,ES,Space,28370723,0.75
ES heat_demand water_COM MW,ES,Water,9256880,0.25
FI heat_demand space_COM MW,FI,Space,17266067,0.90
FI heat_demand water_COM MW,FI,Water,1915257,0.10
FR heat_demand space_COM MW,FR,Space,106872772,0.86
FR heat_demand water_COM MW,FR,Water,18064718,0.14
GB heat_demand space_COM MW,GB,Space,77410542,0.83
GB heat_demand water_COM MW,GB,Water,15557958,0.17
GR heat_demand space_COM MW,GR,Space,5066081,0.70
GR heat_demand water_COM MW,GR,Water,2183814,0.30
HR heat_demand space_COM MW,HR,Space,2532124,0.78
HR heat_demand water_COM MW,HR,Water,704252,0.22
HU heat_demand space_COM MW,HU,Space,9570929,0.84
HU heat_demand water_COM MW,HU,Water,1802378,0.16
IE heat_demand space_COM MW,IE,Space,4429554,0.80
IE heat_demand water_COM MW,IE,Water,1128780,0.20
IT heat_demand space_COM MW,IT,Space,63290313,0.82
IT heat_demand water_COM MW,IT,Water,13599368,0.18
LT heat_demand space_COM MW,LT,Space,2513339,0.84
LT heat_demand water_COM MW,LT,Water,470367,0.16
LU heat_demand space_COM MW,LU,Space,2039504,0.87
LU heat_demand water_COM MW,LU,Water,295364,0.13
LV heat_demand space_COM MW,LV,Space,2870101,0.87
LV heat_demand water_COM MW,LV,Water,432612,0.13
NL heat_demand space_COM MW,NL,Space,27959893,0.81
NL heat_demand water_COM MW,NL,Water,6357107,0.19
PL heat_demand space_COM MW,PL,Space,37927697,0.86
PL heat_demand water_COM MW,PL,Water,6236959,0.14
PT heat_demand space_COM MW,PT,Space,5723929,0.77
PT heat_demand water_COM MW,PT,Water,1751942,0.23
RO heat_demand space_COM MW,RO,Space,7867861,0.82
RO heat_demand water_COM MW,RO,Water,1783792,0.18
SE heat_demand space_COM MW,SE,Space,19307316,0.86
SE heat_demand water_COM MW,SE,Water,3197118,0.14
SI heat_demand space_COM MW,SI,Space,2114054,0.85
SI heat_demand water_COM MW,SI,Water,379321,0.15
SK heat_demand space_COM MW,SK,Space,5616124,0.83
SK heat_demand water_COM MW,SK,Water,1115280,0.17
