Group,Name,Temporality,Granularity,Datafile,Function,Fixed Profile,Args,Note
Industrial,Industry_Aluminium_Energetic,Weekly,EU,,_get_industrial_profile,,code_name,
Industrial,Industry_Chemicals_Energetic,Weekly,EU,,_get_industrial_profile,,code_name,
Industrial,Industry_Chemicals_Non-energetic,Weekly,EU,,_get_industrial_profile,,code_name,
Industrial,Industry_Datacenters_Energetic,Weekly,EU,,,flat_profile,,
Industrial,Industry_Fertilizers_Energetic,Yearly,EU,src\demand\demand_hourly_patterns\hourly_fertilizer_production_factors.csv,,,,
Industrial,Industry_Fertilizers_Non-energetic,Yearly,EU,src\demand\demand_hourly_patterns\hourly_fertilizer_production_factors.csv,,,,
Industrial,Industry_Food_Energetic,Weekly,EU,,_get_industrial_profile,,code_name,
Industrial,Industry_Metals_Energetic,Weekly,EU,,_get_industrial_profile,,code_name,
Industrial,Industry_Others_Energetic,Weekly,EU,,_get_industrial_profile,,code_name,
Industrial,Industry_Others_Non-energetic,Weekly,EU,,_get_industrial_profile,,code_name,
Industrial,Industry_Paper_Energetic,Weekly,EU,,_get_industrial_profile,,code_name,
Industrial,Industry_Refineries_Energetic,Weekly,EU,,_get_industrial_profile,,code_name,
Industrial,Industry_Refineries_Non-energetic,Weekly,EU,,_get_industrial_profile,,code_name,
Industrial,Industry_Steel_Energetic,Weekly,EU,,_get_industrial_profile,,code_name,
Tertiary,Buildings_Appliances_Energetic,Yearly,Country,,_appliance_profiles,,sector,
Tertiary,Buildings_Space heating_Energetic,Yearly,Country,,_tertiary_heating_profiles,,,split this into space and water heating. Methodology: use today's split
Tertiary,Buildings_Cooling_Energetic,Yearly,node,,_space_cooling_profiles,,"sector, climate_year",
Tertiary,Buildings_Hot water_Energetic,Weekly,Country,,_hot_water_profiles,,sector,
Residential,Households_Space heating_Energetic,Yearly,Country,,_residential_heating_profiles,,"subsector, climate_year, reference_climate_year",
Residential,Households_Cooling_Energetic,Yearly,node,,_space_cooling_profiles,,"sector, climate_year",space_cooling_profiles
Residential,Households_Hot water_Energetic,Weekly,Country,,_hot_water_profiles,,sector,
Residential,Households_Appliances_Energetic,Yearly,Country,,_appliance_profiles,,sector,
Transport,Transport_Cars_Energetic,Weekly,EU,src\demand\demand_hourly_patterns\Profile_Passanger.csv,,,,
Transport,Transport_Busses_Energetic,Weekly,EU,src\demand\demand_hourly_patterns\Profile_Buses.csv,,,,
Transport,Transport_Trucks_Energetic,Weekly,EU,src\demand\demand_hourly_patterns\Profile_HeavyGoods.csv,,,,
Transport,Transport_Vans_Energetic,Weekly,EU,src\demand\demand_hourly_patterns\Profile_Passanger.csv,,,,
Transport,Transport_Passenger trains_Energetic,Weekly,EU,src\demand\demand_hourly_patterns\Profile_Trains.csv,,,,
Transport,Transport_Freight trains_Energetic,Weekly,EU,src\demand\demand_hourly_patterns\Profile_HeavyGoods.csv,,,,
Transport,Transport_Ships_Energetic,Yearly,EU,src\demand\demand_hourly_patterns\Hourly_Shipping_Demand_Factors.csv,,,,
Transport,Transport_Planes_Energetic,Yearly,Country,,_create_aviation_template,,,
Transport,Transport_Others_Energetic,Weekly,EU,,,flat_profile,,
Transport,International transport_International aviation_Energetic,Yearly,Country,,_create_aviation_template,,,
Transport,International transport_International shipping_Energetic,Yearly,EU,src\demand\demand_hourly_patterns\Hourly_Shipping_Demand_Factors.csv,,,,
Transport,AI_Datacenters_Energetic,Weekly,EU,src\demand\demand_hourly_patterns\AI_Data_Center_Demand_Profile_2050.csv,,,,
Residential,Households_HHP Hot water_Energetic,Yearly,Country,,_residential_heating_profiles,,"subsector, climate_year, reference_climate_year",
Residential,Households_HHP Space heating_Energetic,Yearly,Country,,_residential_heating_profiles,,"subsector, climate_year, reference_climate_year",
Agriculture,Agriculture_Total_Energetic,Yearly,EU,src\demand\demand_hourly_patterns\hourly_fertilizer_production_factors.csv,,,,
Agriculture,Agriculture_Total_Non-energetic,Yearly,EU,src\demand\demand_hourly_patterns\hourly_fertilizer_production_factors.csv,,,,
District Heating,District Heating_District Heating_Energetic,Yearly,Country,,_residential_heating_profiles,,"subsector, climate_year, reference_climate_year",
Industrial,Industry_Ammonia_Energetic ,Yearly,EU,,_get_industrial_profile,,code_name,
