COUNTRY,SECTOR,SUBSECTOR,ENERGY_CARRIER,PROPERTY,UNIT,YEAR,VALUE
AT,Households,Total,Electricity,Energy Demand,TWh,2019,18.10225705
BE,Households,Total,Electricity,Energy Demand,TWh,2019,16.84887894
BG,Households,Total,Electricity,Energy Demand,TWh,2019,9.136101289
CY,Households,Total,Electricity,Energy Demand,TWh,2019,1.660726605
CZ,Households,Total,Electricity,Energy Demand,TWh,2019,13.00558369
DE,Households,Total,Electricity,Energy Demand,TWh,2019,125.2695024
DK,Households,Total,Electricity,Energy Demand,TWh,2019,9.758237114
EE,Households,Total,Electricity,Energy Demand,TWh,2019,2.111576813
ES,Households,Total,Electricity,Energy Demand,TWh,2019,72.98624566
FI,Households,Total,Electricity,Energy Demand,TWh,2019,24.14248331
FR,Households,Total,Electricity,Energy Demand,TWh,2019,147.54934
GR,Households,Total,Electricity,Energy Demand,TWh,2019,14.94485474
HR,Households,Total,Electricity,Energy Demand,TWh,2019,5.450317882
HU,Households,Total,Electricity,Energy Demand,TWh,2019,9.555512339
IE,Households,Total,Electricity,Energy Demand,TWh,2019,8.019870618
IT,Households,Total,Electricity,Energy Demand,TWh,2019,63.161167
LT,Households,Total,Electricity,Energy Demand,TWh,2019,2.912738722
LU,Households,Total,Electricity,Energy Demand,TWh,2019,0.918735192
LV,Households,Total,Electricity,Energy Demand,TWh,2019,1.652338628
MT,Households,Total,Electricity,Energy Demand,TWh,2019,0.735322238
NL,Households,Total,Electricity,Energy Demand,TWh,2019,23.02060853
PL,Households,Total,Electricity,Energy Demand,TWh,2019,27.80862368
PT,Households,Total,Electricity,Energy Demand,TWh,2019,12.36487694
RO,Households,Total,Electricity,Energy Demand,TWh,2019,12.0098093
SE,Households,Total,Electricity,Energy Demand,TWh,2019,45.96139715
SI,Households,Total,Electricity,Energy Demand,TWh,2019,3.174906369
SK,Households,Total,Electricity,Energy Demand,TWh,2019,5.371505119
UK,Households,Total,Electricity,Energy Demand,TWh,2019,105.4137679
EU,Households,Total,Electricity,Energy Demand,TWh,2019,677.6335173
AT,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
BE,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
BG,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
CY,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
CZ,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
DE,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
DK,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
EE,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
ES,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
FI,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
FR,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
GR,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
HR,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
HU,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
IE,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
IT,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
LT,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
LU,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
LV,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
MT,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
NL,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
PL,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
PT,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
RO,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
SE,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
SI,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
SK,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
UK,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
EU,Households,Total,Hydrogen,Energy Demand,TWh,2019,0
AT,Households,Total,Methane,Energy Demand,TWh,2019,17.19872872
BE,Households,Total,Methane,Energy Demand,TWh,2019,41.57493457
BG,Households,Total,Methane,Energy Demand,TWh,2019,1.25348832
CY,Households,Total,Methane,Energy Demand,TWh,2019,0
CZ,Households,Total,Methane,Energy Demand,TWh,2019,24.52091735
DE,Households,Total,Methane,Energy Demand,TWh,2019,273.9226592
DK,Households,Total,Methane,Energy Demand,TWh,2019,7.416262752
EE,Households,Total,Methane,Energy Demand,TWh,2019,0.671800874
ES,Households,Total,Methane,Energy Demand,TWh,2019,40.60595121
FI,Households,Total,Methane,Energy Demand,TWh,2019,0.364872264
FR,Households,Total,Methane,Energy Demand,TWh,2019,137.8504401
GR,Households,Total,Methane,Energy Demand,TWh,2019,4.782806423
HR,Households,Total,Methane,Energy Demand,TWh,2019,5.748282585
HU,Households,Total,Methane,Energy Demand,TWh,2019,36.70844466
IE,Households,Total,Methane,Energy Demand,TWh,2019,7.037329766
IT,Households,Total,Methane,Energy Demand,TWh,2019,193.7582701
LT,Households,Total,Methane,Energy Demand,TWh,2019,1.824848259
LU,Households,Total,Methane,Energy Demand,TWh,2019,2.744999689
LV,Households,Total,Methane,Energy Demand,TWh,2019,1.162657847
MT,Households,Total,Methane,Energy Demand,TWh,2019,0
NL,Households,Total,Methane,Energy Demand,TWh,2019,74.97625623
PL,Households,Total,Methane,Energy Demand,TWh,2019,44.45688228
PT,Households,Total,Methane,Energy Demand,TWh,2019,3.369823259
RO,Households,Total,Methane,Energy Demand,TWh,2019,32.88110338
SE,Households,Total,Methane,Energy Demand,TWh,2019,0.398280091
SI,Households,Total,Methane,Energy Demand,TWh,2019,1.323366178
SK,Households,Total,Methane,Energy Demand,TWh,2019,13.53517412
UK,Households,Total,Methane,Energy Demand,TWh,2019,283.2344312
EU,Households,Total,Methane,Energy Demand,TWh,2019,970.0885802
AT,Households,Total,Heat,Energy Demand,TWh,2019,10.71510889
BE,Households,Total,Heat,Energy Demand,TWh,2019,0.444262161
BG,Households,Total,Heat,Energy Demand,TWh,2019,4.201308901
CY,Households,Total,Heat,Energy Demand,TWh,2019,0.719073611
CZ,Households,Total,Heat,Energy Demand,TWh,2019,12.67008456
DE,Households,Total,Heat,Energy Demand,TWh,2019,55.0040511
DK,Households,Total,Heat,Energy Demand,TWh,2019,20.00135048
EE,Households,Total,Heat,Energy Demand,TWh,2019,3.884836941
ES,Households,Total,Heat,Energy Demand,TWh,2019,2.957130779
FI,Households,Total,Heat,Energy Demand,TWh,2019,20.32483527
FR,Households,Total,Heat,Energy Demand,TWh,2019,17.65808491
GR,Households,Total,Heat,Energy Demand,TWh,2019,3.907280881
HR,Households,Total,Heat,Energy Demand,TWh,2019,1.543766286
HU,Households,Total,Heat,Energy Demand,TWh,2019,6.005796167
IE,Households,Total,Heat,Energy Demand,TWh,2019,0.157315278
IT,Households,Total,Heat,Energy Demand,TWh,2019,12.78864394
LT,Households,Total,Heat,Energy Demand,TWh,2019,5.390941242
LU,Households,Total,Heat,Energy Demand,TWh,2019,0.028047222
LV,Households,Total,Heat,Energy Demand,TWh,2019,4.387683614
MT,Households,Total,Heat,Energy Demand,TWh,2019,0.059027778
NL,Households,Total,Heat,Energy Demand,TWh,2019,3.536739904
PL,Households,Total,Heat,Energy Demand,TWh,2019,46.69473312
PT,Households,Total,Heat,Energy Demand,TWh,2019,0.68339465
RO,Households,Total,Heat,Energy Demand,TWh,2019,8.707250843
SE,Households,Total,Heat,Energy Demand,TWh,2019,34.41799727
SI,Households,Total,Heat,Energy Demand,TWh,2019,1.070347035
SK,Households,Total,Heat,Energy Demand,TWh,2019,4.867373767
UK,Households,Total,Heat,Energy Demand,TWh,2019,3.385636505
EU,Households,Total,Heat,Energy Demand,TWh,2019,282.8264666
AT,Households,Total,Biofuels,Energy Demand,TWh,2019,21.25005185
BE,Households,Total,Biofuels,Energy Demand,TWh,2019,6.946507711
BG,Households,Total,Biofuels,Energy Demand,TWh,2019,11.04098358
CY,Households,Total,Biofuels,Energy Demand,TWh,2019,0.239228661
CZ,Households,Total,Biofuels,Energy Demand,TWh,2019,27.77484444
DE,Households,Total,Biofuels,Energy Demand,TWh,2019,72.26921111
DK,Households,Total,Biofuels,Energy Demand,TWh,2019,10.10892677
EE,Households,Total,Biofuels,Energy Demand,TWh,2019,4.38267075
ES,Households,Total,Biofuels,Energy Demand,TWh,2019,24.85610873
FI,Households,Total,Biofuels,Energy Demand,TWh,2019,15.43815178
FR,Households,Total,Biofuels,Energy Demand,TWh,2019,87.18750444
GR,Households,Total,Biofuels,Energy Demand,TWh,2019,9.776461344
HR,Households,Total,Biofuels,Energy Demand,TWh,2019,13.48005525
HU,Households,Total,Biofuels,Energy Demand,TWh,2019,17.29864154
IE,Households,Total,Biofuels,Energy Demand,TWh,2019,0.314423605
IT,Households,Total,Biofuels,Energy Demand,TWh,2019,76.80072688
LT,Households,Total,Biofuels,Energy Demand,TWh,2019,5.500148078
LU,Households,Total,Biofuels,Energy Demand,TWh,2019,0.178657904
LV,Households,Total,Biofuels,Energy Demand,TWh,2019,5.863203123
MT,Households,Total,Biofuels,Energy Demand,TWh,2019,0.035605535
NL,Households,Total,Biofuels,Energy Demand,TWh,2019,5.125668076
PL,Households,Total,Biofuels,Energy Demand,TWh,2019,65.69879807
PT,Households,Total,Biofuels,Energy Demand,TWh,2019,10.20192239
RO,Households,Total,Biofuels,Energy Demand,TWh,2019,37.13067405
SE,Households,Total,Biofuels,Energy Demand,TWh,2019,9.802697887
SI,Households,Total,Biofuels,Energy Demand,TWh,2019,5.216939565
