Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PECD Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Climate Year,SSP245_CMR5_2025,SSP245_CMR5_2026,SSP245_CMR5_2027,SSP245_CMR5_2028,SSP245_CMR5_2029,SSP245_CMR5_2030,SSP245_CMR5_2031,SSP245_CMR5_2032,SSP245_CMR5_2033,SSP245_CMR5_2034,SSP245_ECE3_2025,SSP245_ECE3_2026,SSP245_ECE3_2027,SSP245_ECE3_2028,SSP245_ECE3_2029,SSP245_ECE3_2030,SSP245_ECE3_2031,SSP245_ECE3_2032,SSP245_ECE3_2033,SSP245_ECE3_2034,SSP245_MEHR_2025,SSP245_MEHR_2026,SSP245_MEHR_2027,SSP245_MEHR_2028,SSP245_MEHR_2029,SSP245_MEHR_2030,SSP245_MEHR_2031,SSP245_MEHR_2032,SSP245_MEHR_2033,SSP245_MEHR_2034
Date,Hour,WS001,WS002,WS003,WS004,WS005,WS006,WS007,WS008,WS009,WS010,WS011,WS012,WS013,WS014,WS015,WS016,WS017,WS018,WS019,WS020,WS021,WS022,WS023,WS024,WS025,WS026,WS027,WS028,WS029,WS030
01.01.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.01.,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
