PATTERN,AT00Z2IN,AT00Z2RE,AT00Z2TE,AT00Z2TR
"M01,D01,H1",0.0,0.0,0.0,0.0
"M01,D01,H2",0.0,0.0,0.0,0.0
"M01,D01,H3",0.0,0.0,0.0,0.0
"M01,D01,H4",0.0,0.0,0.0,0.0
"M01,D01,H5",0.0,0.0,0.0,0.0
"M01,D01,H6",0.0,0.0,0.0,0.0
"M01,D01,H7",0.0,0.0,0.0,0.0
"M01,D01,H8",0.0,0.0,0.0,0.0
"M01,D01,H9",0.0,0.0,0.0,0.0
"M01,D01,H10",0.0,0.0,0.0,0.0
"M01,D01,H11",0.0,0.0,0.0,0.0
"M01,D01,H12",0.0,0.0,0.0,0.0
"M01,D01,H13",0.0,0.0,0.0,0.0
"M01,D01,H14",0.0,0.0,0.0,0.0
"M01,D01,H15",0.0,0.0,0.0,0.0
"M01,D01,H16",0.0,0.0,0.0,0.0
"M01,D01,H17",0.0,0.0,0.0,0.0
"M01,D01,H18",0.0,0.0,0.0,0.0
"M01,D01,H19",0.0,0.0,0.0,0.0
"M01,D01,H20",0.0,0.0,0.0,0.0
"M01,D01,H21",0.0,0.0,0.0,0.0
"M01,D01,H22",0.0,0.0,0.0,0.0
"M01,D01,H23",0.0,0.0,0.0,0.0
"M01,D01,H24",0.0,0.0,0.0,0.0
"M01,D02,H1",0.0,0.0,0.0,0.0
"M01,D02,H2",0.0,0.0,0.0,0.0
"M01,D02,H3",0.0,0.0,0.0,0.0
"M01,D02,H4",0.0,0.0,0.0,0.0
"M01,D02,H5",0.0,0.0,0.0,0.0
"M01,D02,H6",0.0,0.0,0.0,0.0
"M01,D02,H7",0.0,0.0,0.0,0.0
"M01,D02,H8",0.0,0.0,0.0,0.0
"M01,D02,H9",0.0,0.0,0.0,0.0
"M01,D02,H10",0.0,0.0,0.0,0.0
"M01,D02,H11",0.0,0.0,0.0,0.0
"M01,D02,H12",0.0,0.0,0.0,0.0
"M01,D02,H13",0.0,0.0,0.0,0.0
