Year,Month,Day,Hour,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,MT,PL,PT,RO,SE,SI,UK,SK
2009,1,1,0,4.65E-05,4.48E-05,4.17E-05,4.40E-05,4.41E-05,4.72E-05,4.19E-05,4.07E-05,4.63E-05,4.14E-05,4.60E-05,3.71E-05,4.40E-05,4.11E-05,4.67E-05,3.75E-05,4.50E-05,4.15E-05,5.63E-05,4.09E-05,4.80E-05,4.50E-05,4.22E-05,4.04E-05,3.93E-05,4.41E-05,3.98E-05,4.48E-05,4.79E-05
2009,1,1,1,4.55E-05,4.37E-05,4.73E-05,4.93E-05,4.29E-05,4.64E-05,4.05E-05,4.55E-05,4.53E-05,4.68E-05,4.50E-05,4.27E-05,4.93E-05,3.96E-05,4.57E-05,4.34E-05,4.38E-05,4.68E-05,5.63E-05,4.62E-05,4.72E-05,4.38E-05,4.08E-05,4.74E-05,4.49E-05,4.28E-05,3.83E-05,4.37E-05,4.70E-05
2009,1,1,2,5.06E-05,4.89E-05,8.05E-05,8.31E-05,4.82E-05,5.14E-05,4.59E-05,7.90E-05,5.05E-05,7.99E-05,5.01E-05,4.14E-05,8.31E-05,4.51E-05,5.08E-05,4.22E-05,4.92E-05,7.94E-05,5.99E-05,7.92E-05,5.22E-05,4.92E-05,4.62E-05,4.67E-05,7.83E-05,4.81E-05,4.41E-05,4.89E-05,5.19E-05
2009,1,1,3,8.38E-05,8.19E-05,0.000168139,0.000171937,8.13E-05,8.46E-05,7.89E-05,0.000167645,8.39E-05,0.000166994,8.33E-05,4.68E-05,0.000171937,7.83E-05,8.40E-05,4.74E-05,8.30E-05,0.000166676,9.33E-05,0.000166782,8.53E-05,8.30E-05,7.93E-05,5.17E-05,0.000167141,8.12E-05,7.71E-05,8.19E-05,8.53E-05
2009,1,1,4,0.000170146,0.000168532,0.000220012,0.000223891,0.000168286,0.000170784,0.000166082,0.000220333,0.000170868,0.000218539,0.000169992,7.98E-05,0.000223891,0.000166253,0.00017085,8.05E-05,0.000171631,0.000218203,0.000177794,0.000219229,0.000171141,0.000171631,0.000166782,8.47E-05,0.000220631,0.000168083,0.000165723,0.000168532,0.000171873
2009,1,1,5,0.000219462,0.000218772,0.000207491,0.000211432,0.000219015,0.000219689,0.000217842,0.000206762,0.000220845,0.000206059,0.000219774,0.000166679,0.000211432,0.000219235,0.000220307,0.000167144,0.000223391,0.000205584,0.000220042,0.000206642,0.000219416,0.000223391,0.000218687,0.000170496,0.00020729,0.000218738,0.000219846,0.000218772,0.000220715
2009,1,1,6,0.000207906,0.000206806,0.000162007,0.000164835,0.000206876,0.000208315,0.00020524,0.000162057,0.000209058,0.000160878,0.000208036,0.000217965,0.000164835,0.000206142,0.000208721,0.000218105,0.000210949,0.000160366,0.00021124,0.000161537,0.000208307,0.000210949,0.000206016,0.00021884,0.000162232,0.000206568,0.000206435,0.000206806,0.000209277
2009,1,1,7,0.000161908,0.000161225,0.000155874,0.000158356,0.000161386,0.000162072,0.000160381,0.00015567,0.000162835,0.000154762,0.000162045,0.000205509,0.000158356,0.000161381,0.00016255,0.000205731,0.000164561,0.000154583,0.000163711,0.000155244,0.000161902,0.000164561,0.000161019,0.000207584,0.000156443,0.000161175,0.000161412,0.000161225,0.000162909
2009,1,1,8,0.000155271,0.000154831,0.000145397,0.00014789,0.000155125,0.000155299,0.00015438,0.000145292,0.000156185,0.000144278,0.000155459,0.000160526,0.00014789,0.000155291,0.000155806,0.000160642,0.000158084,0.000144067,0.000154909,0.000144754,0.00015505,0.000158084,0.000154951,0.000161454,0.000145367,0.000154843,0.000155664,0.000154831,0.000156108
2009,1,1,9,0.000145317,0.000144691,0.000143353,0.000145523,0.000144775,0.00014556,0.000143728,0.000143696,0.000146176,0.000142282,0.000145468,0.00015439,0.000145523,0.00014433,0.000145949,0.000154351,0.000147617,0.000141964,0.000146108,0.000142656,0.000145447,0.000147617,0.000144341,0.000154627,0.000143857,0.000144564,0.000144648,0.000144691,0.000146216
