Node,Property,Sector,Demand
AT,Space Heating,Residential,2695.889318
AT,Water Heating,Residential,913.693169
BE,Space Heating,Residential,4883.501987
BE,Water Heating,Residential,1533.740977
BG,Space Heating,Residential,773.9529845
BG,Water Heating,Residential,422.7310104
CY,Space Heating,Residential,67.6808482
CY,Water Heating,Residential,115.0788959
CZ,Space Heating,Residential,4044.778049
CZ,Water Heating,Residential,965.867272
DE,Space Heating,Residential,28065.02511
DE,Water Heating,Residential,7830.562833
DK,Space Heating,Residential,1739.915765
DK,Water Heating,Residential,718.2997087
EE,Space Heating,Residential,398.3307771
EE,Water Heating,Residential,116.3593854
ES,Space Heating,Residential,4683.102736
ES,Water Heating,Residential,3311.198944
FI,Space Heating,Residential,2877.067425
FI,Water Heating,Residential,901.3401253
FR,Space Heating,Residential,15139.27316
FR,Water Heating,Residential,5908.857986
GR,Space Heating,Residential,1607.533997
GR,Water Heating,Residential,642.3781314
HR,Space Heating,Residential,1005.958463
HR,Water Heating,Residential,328.9255877
HU,Space Heating,Residential,3021.667848
HU,Water Heating,Residential,789.535931
IE,Space Heating,Residential,1265.73543
IE,Water Heating,Residential,565.0244046
IT,Space Heating,Residential,11201.22305
IT,Water Heating,Residential,4950.532121
LT,Space Heating,Residential,538.8759522
LT,Water Heating,Residential,172.6026118
LU,Space Heating,Residential,341.306476
LU,Water Heating,Residential,59.03694394
LV,Space Heating,Residential,506.2180746
LV,Water Heating,Residential,163.3545137
MT,Space Heating,Residential,12.60763118
MT,Water Heating,Residential,39.3112559
NL,Space Heating,Residential,6527.880817
NL,Water Heating,Residential,2908.387377
PL,Space Heating,Residential,11488.65878
PL,Water Heating,Residential,3614.337256
PT,Space Heating,Residential,459.7819792
PT,Water Heating,Residential,660.8986178
RO,Space Heating,Residential,3358.221374
RO,Water Heating,Residential,1034.243406
SE,Space Heating,Residential,3456.718626
SE,Water Heating,Residential,1791.922718
SI,Space Heating,Residential,452.6405873
SI,Water Heating,Residential,219.8592557
AT,Space Heating,Tertiary,709.8868028
AT,Water Heating,Tertiary,402.7831944
BE,Space Heating,Tertiary,2281.825047
BE,Water Heating,Tertiary,482.2303375
BG,Space Heating,Tertiary,332.1311975
BG,Water Heating,Tertiary,171.0566252
CY,Space Heating,Tertiary,52.40215659
CY,Water Heating,Tertiary,46.16075573
CZ,Space Heating,Tertiary,1415.419279
CZ,Water Heating,Tertiary,314.0563548
DE,Space Heating,Tertiary,9975.290975
DE,Water Heating,Tertiary,2626.265355
DK,Space Heating,Tertiary,553.7666621
DK,Water Heating,Tertiary,265.9146116
EE,Space Heating,Tertiary,235.5069661
EE,Water Heating,Tertiary,37.51275777
ES,Space Heating,Tertiary,2737.134761
ES,Water Heating,Tertiary,1368.137335
FI,Space Heating,Tertiary,1484.792804
FI,Water Heating,Tertiary,266.8475354
FR,Space Heating,Tertiary,6729.004001
FR,Water Heating,Tertiary,2359.371726
GR,Space Heating,Tertiary,397.165454
GR,Water Heating,Tertiary,335.5050828
HR,Space Heating,Tertiary,243.6557112
HR,Water Heating,Tertiary,100.7203893
HU,Space Heating,Tertiary,784.0252054
HU,Water Heating,Tertiary,222.4188887
IE,Space Heating,Tertiary,426.9485755
IE,Water Heating,Tertiary,162.9426351
IT,Space Heating,Tertiary,4098.445035
IT,Water Heating,Tertiary,3249.156275
LT,Space Heating,Tertiary,237.7318369
LT,Water Heating,Tertiary,62.67165065
LU,Space Heating,Tertiary,245.4829234
LU,Water Heating,Tertiary,49.89299161
LV,Space Heating,Tertiary,251.8527044
LV,Water Heating,Tertiary,56.10249107
MT,Space Heating,Tertiary,41.61800182
MT,Water Heating,Tertiary,21.91196868
NL,Space Heating,Tertiary,2812.935565
NL,Water Heating,Tertiary,938.12133
PL,Space Heating,Tertiary,3815.382667
PL,Water Heating,Tertiary,965.2758899
PT,Space Heating,Tertiary,561.4846066
PT,Water Heating,Tertiary,242.937892
RO,Space Heating,Tertiary,711.9971258
RO,Water Heating,Tertiary,249.1710583
SE,Space Heating,Tertiary,1557.208563
SE,Water Heating,Tertiary,519.7812862
SI,Space Heating,Tertiary,151.0201358
SI,Water Heating,Tertiary,46.11066562
SK,Space Heating,Tertiary,537.2006627
SK,Water Heating,Tertiary,141.8099112
UK,Space Heating,Tertiary,6170.497479
UK,Water Heating,Tertiary,2132.950144
