Year,Month,Day,Hour,Format,Value
-,-,-,1,Weekday,0.8
-,-,-,2,Weekday,0.8
-,-,-,3,Weekday,0.8
-,-,-,4,Weekday,0.8
-,-,-,5,Weekday,0.8
-,-,-,6,Weekday,0.85
-,-,-,7,Weekday,0.85
-,-,-,8,Weekday,0.85
-,-,-,9,Weekday,0.9
-,-,-,10,Weekday,0.9
-,-,-,11,Weekday,1
-,-,-,12,Weekday,1
-,-,-,13,Weekday,1
-,-,-,14,Weekday,1
-,-,-,15,Weekday,1
-,-,-,16,Weekday,0.95
-,-,-,17,Weekday,0.95
-,-,-,18,Weekday,0.95
-,-,-,19,Weekday,0.9
-,-,-,20,Weekday,0.9
-,-,-,21,Weekday,0.85
-,-,-,22,Weekday,0.85
-,-,-,23,Weekday,0.85
-,-,-,24,Weekday,0.85
-,-,-,1,Weekend,0.8
-,-,-,2,Weekend,0.8
-,-,-,3,Weekend,0.8
-,-,-,4,Weekend,0.8
-,-,-,5,Weekend,0.8
-,-,-,6,Weekend,0.8
-,-,-,7,Weekend,0.85
-,-,-,8,Weekend,0.85
-,-,-,9,Weekend,0.85
-,-,-,10,Weekend,0.9
-,-,-,11,Weekend,0.9
-,-,-,12,Weekend,0.9
-,-,-,13,Weekend,0.9
-,-,-,14,Weekend,0.9
-,-,-,15,Weekend,0.9
-,-,-,16,Weekend,0.9
-,-,-,17,Weekend,0.9
-,-,-,18,Weekend,0.9
-,-,-,19,Weekend,0.85
-,-,-,20,Weekend,0.85
-,-,-,21,Weekend,0.85
-,-,-,22,Weekend,0.85
-,-,-,23,Weekend,0.8
-,-,-,24,Weekend,0.8
