TIME,year,Month,EU27 countries,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Euro area - 19 countries  (from 2015),BE,BG,CZ,DK,DE,EE,IE,GR,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,IL,NO,UK,TR
2008-01,2008,1,:,"2,841.00",:,152,13,28,72,703,5,72,49,432,578,8,308,14,7,5,27,20,,298,62,31,73,13,3,9,56,78,0,54,1006,140
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-02,2008,2,:,"2,691.00",:,170,11,25,88,669,5,71,31,416,542,8,285,14,6,6,28,21,,273,60,32,68,14,2,3,54,79,0,51,853,103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03,2008,3,:,"2,977.00",:,163,29,30,81,730,0,73,68,471,589,4,332,17,7,6,33,21,,290,64,37,81,18,3,4,59,85,0,53,938,170
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04,2008,4,:,"2,992.00",:,176,12,29,72,728,10,69,80,484,601,3,319,21,7,7,31,22,,271,56,37,79,14,3,4,60,84,0,45,977,157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05,2008,5,:,"3,233.00",:,170,16,35,58,794,6,81,125,503,601,6,364,29,8,7,30,22,,314,65,42,87,12,2,3,59,85,0,54,937,220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06,2008,6,:,"3,320.00",:,176,26,38,79,770,10,83,162,491,624,7,381,32,9,8,26,24,,340,70,47,88,17,2,6,59,89,0,51,1092,194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-07,2008,7,:,"3,510.00",:,176,31,38,82,823,10,91,189,512,661,6,406,35,9,8,28,27,,345,71,59,99,14,0,7,57,73,0,50,1240,266
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08,2008,8,:,"3,468.00",:,163,35,43,80,789,5,91,186,556,648,10,402,35,9,8,22,27,,332,70,58,103,18,1,6,59,83,0,53,1136,246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09,2008,9,:,"3,310.00",:,164,26,40,75,796,10,86,164,513,604,4,371,31,9,7,30,22,,314,65,59,91,18,3,8,60,92,0,53,1027,233
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-10,2008,10,:,"3,156.00",:,192,16,32,87,802,7,78,114,453,596,6,321,29,9,7,30,18,,324,59,39,84,11,3,3,61,86,0,56,1061,187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-11,2008,11,:,"2,595.00",:,128,13,26,74,679,7,64,61,371,517,4,264,17,8,5,30,16,,290,38,36,68,12,2,3,56,86,0,37,903,117
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12,2008,12,:,"2,635.00",:,138,14,23,57,642,2,62,70,429,535,6,257,14,8,4,22,21,,278,44,44,75,14,2,4,61,76,0,37,1195,131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01,2009,1,"2,755.00","2,526.00","2,526.00",124,9,22,60,666,2,62,56,335,530,3,259,13,7,3,6,18,5,287,50,40,67,10,2,2,50,67,0,10,1036,156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-02,2009,2,"2,608.00","2,405.00","2,405.00",141,12,18,56,604,2,55,56,368,489,3,262,12,6,2,8,12,5,236,44,23,60,7,2,2,51,72,0,49,802,141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03,2009,3,"2,916.00","2,681.00","2,681.00",163,14,21,70,699,4,61,53,398,543,6,279,15,7,3,8,15,5,259,53,23,68,9,2,2,59,77,0,49,904,128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04,2009,4,"3,002.00","2,738.00","2,738.00",142,9,29,69,693,2,38,78,401,561,4,314,21,8,3,7,20,8,273,51,43,77,15,2,3,56,75,0,49,1066,272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05,2009,5,"3,204.00","2,954.00","2,954.00",156,12,29,67,789,5,68,119,429,548,4,319,26,9,3,10,18,8,285,53,35,75,11,3,3,46,74,0,57,965,208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06,2009,6,"3,269.00","2,953.00","2,953.00",154,23,41,73,725,1,40,134,447,580,8,335,27,9,4,8,23,9,284,55,39,81,11,0,5,55,98,0,54,1008,314
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07,2009,7,"3,529.00","3,213.00","3,213.00",160,27,41,75,786,3,42,146,527,613,10,369,31,9,4,8,16,10,289,61,52,94,15,3,6,52,80,0,56,1054,279
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08,2009,8,"3,541.00","3,226.00","3,226.00",164,24,45,71,784,3,44,146,497,623,10,360,32,10,4,13,23,0,319,60,56,101,14,4,7,55,72,0,59,1149,276
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09,2009,9,"3,296.00","2,998.00","2,998.00",159,18,33,66,762,3,41,128,459,551,8,323,29,8,4,14,23,0,315,56,51,87,11,4,4,51,88,0,59,1088,271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,2009,10,"3,220.00","2,962.00","2,962.00",164,12,27,63,802,3,44,93,462,554,3,304,29,9,4,14,23,0,285,53,47,82,11,2,3,55,72,0,55,1032,209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11,2009,11,"2,861.00","2,624.00","2,624.00",166,9,25,61,711,3,37,52,375,497,3,280,18,8,4,18,18,0,288,52,35,67,13,1,2,45,73,0,53,870,213
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12,2009,12,"2,829.00","2,582.00","2,582.00",148,12,23,69,662,4,36,52,415,509,6,263,14,9,3,12,18,0,291,44,46,63,10,3,3,51,63,0,57,861,94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01,2010,1,"2,693.00","2,480.00","2,480.00",168,11,22,61,636,7,38,40,355,508,2,268,13,8,4,22,14,0,247,53,33,62,8,1,3,47,62,0,54,892,159
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02,2010,2,"2,525.00","2,324.00","2,324.00",138,9,17,57,567,7,52,51,355,461,6,259,12,7,3,22,10,0,231,46,28,62,10,1,2,48,64,0,56,835,180
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03,2010,3,"2,870.00","2,625.00","2,625.00",120,9,20,65,705,0,63,41,373,538,4,289,15,9,4,25,21,0,259,53,36,73,14,2,2,54,76,0,56,871,170
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04,2010,4,"2,639.00","2,431.00","2,431.00",100,10,24,53,573,4,47,64,395,504,3,284,18,8,3,25,19,0,232,53,27,79,12,2,2,38,60,0,43,830,230
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
