Year,Month,Day,Hour,Format,Value
-,-,-,0,Weekday,0.01793722
-,-,-,1,Weekday,0.013452915
-,-,-,2,Weekday,0.00896861
-,-,-,3,Weekday,0.007174888
-,-,-,4,Weekday,0.006278027
-,-,-,5,Weekday,0.00896861
-,-,-,6,Weekday,0.02690583
-,-,-,7,Weekday,0.044843049
-,-,-,8,Weekday,0.062780269
-,-,-,9,Weekday,0.071748879
-,-,-,10,Weekday,0.062780269
-,-,-,11,Weekday,0.053811659
-,-,-,12,Weekday,0.044843049
-,-,-,13,Weekday,0.040358744
-,-,-,14,Weekday,0.035874439
-,-,-,15,Weekday,0.040358744
-,-,-,16,Weekday,0.053811659
-,-,-,17,Weekday,0.071748879
-,-,-,18,Weekday,0.080717489
-,-,-,19,Weekday,0.071748879
-,-,-,20,Weekday,0.062780269
-,-,-,21,Weekday,0.053811659
-,-,-,22,Weekday,0.035874439
-,-,-,23,Weekday,0.022421525
-,-,-,0,Weekend,0.013452915
-,-,-,1,Weekend,0.010762332
-,-,-,2,Weekend,0.007174888
-,-,-,3,Weekend,0.005381166
-,-,-,4,Weekend,0.004484305
-,-,-,5,Weekend,0.007174888
-,-,-,6,Weekend,0.022421525
-,-,-,7,Weekend,0.035874439
-,-,-,8,Weekend,0.053811659
-,-,-,9,Weekend,0.062780269
-,-,-,10,Weekend,0.053811659
-,-,-,11,Weekend,0.044843049
-,-,-,12,Weekend,0.035874439
-,-,-,13,Weekend,0.031390135
-,-,-,14,Weekend,0.02690583
-,-,-,15,Weekend,0.031390135
-,-,-,16,Weekend,0.044843049
-,-,-,17,Weekend,0.062780269
-,-,-,18,Weekend,0.071748879
-,-,-,19,Weekend,0.062780269
-,-,-,20,Weekend,0.053811659
-,-,-,21,Weekend,0.044843049
-,-,-,22,Weekend,0.031390135
-,-,-,23,Weekend,0.01793722
