Year,Month,Day,Hour,Format,Value
-,-,-,0,Weekday,0.013
-,-,-,1,Weekday,0.013
-,-,-,2,Weekday,0.012
-,-,-,3,Weekday,0.011
-,-,-,4,Weekday,0.009
-,-,-,5,Weekday,0.008
-,-,-,6,Weekday,0.007
-,-,-,7,Weekday,0.013
-,-,-,8,Weekday,0.02
-,-,-,9,Weekday,0.026
-,-,-,10,Weekday,0.033
-,-,-,11,Weekday,0.04
-,-,-,12,Weekday,0.046
-,-,-,13,Weekday,0.053
-,-,-,14,Weekday,0.06
-,-,-,15,Weekday,0.066
-,-,-,16,Weekday,0.073
-,-,-,17,Weekday,0.079
-,-,-,18,Weekday,0.086
-,-,-,19,Weekday,0.079
-,-,-,20,Weekday,0.073
-,-,-,21,Weekday,0.066
-,-,-,22,Weekday,0.06
-,-,-,23,Weekday,0.053
-,-,-,0,Weekend,0.013
-,-,-,1,Weekend,0.013
-,-,-,2,Weekend,0.012
-,-,-,3,Weekend,0.01
-,-,-,4,Weekend,0.008
-,-,-,5,Weekend,0.007
-,-,-,6,Weekend,0.005
-,-,-,7,Weekend,0.013
-,-,-,8,Weekend,0.02
-,-,-,9,Weekend,0.027
-,-,-,10,Weekend,0.033
-,-,-,11,Weekend,0.04
-,-,-,12,Weekend,0.047
-,-,-,13,Weekend,0.053
-,-,-,14,Weekend,0.06
-,-,-,15,Weekend,0.067
-,-,-,16,Weekend,0.073
-,-,-,17,Weekend,0.08
-,-,-,18,Weekend,0.087
-,-,-,19,Weekend,0.08
-,-,-,20,Weekend,0.073
-,-,-,21,Weekend,0.067
-,-,-,22,Weekend,0.06
-,-,-,23,Weekend,0.053
