Year,Month,Day,Hour,Format,Value
-,-,-,0,Weekday,0
-,-,-,1,Weekday,0
-,-,-,2,Weekday,0
-,-,-,3,Weekday,0.03
-,-,-,4,Weekday,0.056
-,-,-,5,Weekday,0.076
-,-,-,6,Weekday,0.096
-,-,-,7,Weekday,0.096
-,-,-,8,Weekday,0.096
-,-,-,9,Weekday,0.076
-,-,-,10,Weekday,0.076
-,-,-,11,Weekday,0.076
-,-,-,12,Weekday,0.078
-,-,-,13,Weekday,0.078
-,-,-,14,Weekday,0.078
-,-,-,15,Weekday,0.096
-,-,-,16,Weekday,0.096
-,-,-,17,Weekday,0.096
-,-,-,18,Weekday,0.092
-,-,-,19,Weekday,0.066
-,-,-,20,Weekday,0.063
-,-,-,21,Weekday,0.061
-,-,-,22,Weekday,0.059
-,-,-,23,Weekday,0
-,-,-,0,Weekend,0
-,-,-,1,Weekend,0
-,-,-,2,Weekend,0
-,-,-,3,Weekend,0.007927
-,-,-,4,Weekend,0.014796
-,-,-,5,Weekend,0.020081
-,-,-,6,Weekend,0.025365
-,-,-,7,Weekend,0.025365
-,-,-,8,Weekend,0.025365
-,-,-,9,Weekend,0.020081
-,-,-,10,Weekend,0.020081
-,-,-,11,Weekend,0.020081
-,-,-,12,Weekend,0.020609
-,-,-,13,Weekend,0.020609
-,-,-,14,Weekend,0.020609
-,-,-,15,Weekend,0.025365
-,-,-,16,Weekend,0.025365
-,-,-,17,Weekend,0.025365
-,-,-,18,Weekend,0.024308
-,-,-,19,Weekend,0.017439
-,-,-,20,Weekend,0.016646
-,-,-,21,Weekend,0.016118
-,-,-,22,Weekend,0.015589
-,-,-,23,Weekend,0
