Time,Availability (%),Demographic
00:00,10.98333333,Workplace Charging
01:00,12.98333333,Workplace Charging
02:00,14.98333333,Workplace Charging
03:00,16.98333333,Workplace Charging
04:00,18.98333333,Workplace Charging
05:00,28.60416667,Workplace Charging
06:00,46.10416667,Workplace Charging
07:00,63.60416667,Workplace Charging
08:00,81.10416667,Workplace Charging
09:00,90,Workplace Charging
10:00,90,Workplace Charging
11:00,90,Workplace Charging
12:00,90,Workplace Charging
13:00,90,Workplace Charging
14:00,90,Workplace Charging
15:00,90,Workplace Charging
16:00,90,Workplace Charging
17:00,75.25,Workplace Charging
18:00,45.25,Workplace Charging
19:00,28.02675585,Workplace Charging
20:00,24.01337793,Workplace Charging
21:00,20,Workplace Charging
22:00,15.98662207,Workplace Charging
23:00,11.97324415,Workplace Charging
,,
