Time,Availability (%),Demographic
00:00,10,Workplace Charging
01:00,10,Workplace Charging
02:00,10,Workplace Charging
03:00,10,Workplace Charging
04:00,10,Workplace Charging
05:00,14.91666667,Workplace Charging
06:00,24.91666667,Workplace Charging
07:00,34.91666667,Workplace Charging
08:00,44.91666667,Workplace Charging
09:00,50,Workplace Charging
10:00,50,Workplace Charging
11:00,50,Workplace Charging
12:00,50,Workplace Charging
13:00,50,Workplace Charging
14:00,50,Workplace Charging
15:00,50,Workplace Charging
16:00,50,Workplace Charging
17:00,42.625,Workplace Charging
18:00,27.625,Workplace Charging
19:00,19.01337793,Workplace Charging
20:00,17.00668896,Workplace Charging
21:00,15,Workplace Charging
22:00,12.99331104,Workplace Charging
23:00,10.98662207,Workplace Charging
,,
