Group,Name,Temporality,Granularity,Datafile,Function,Fixed Profile,Args,Note
Industrial,Industry_Aluminium_Energetic,Weekly,EU,,get_industrial_profile,,Name,
Industrial,Industry_Chemicals_Energetic,Weekly,EU,,get_industrial_profile,,Name,
Industrial,Industry_Chemicals_Non-energetic,Weekly,EU,,get_industrial_profile,,Name,
Industrial,Industry_Fertilizers_Energetic,Weekly,EU,hourly_fertilizer_production_factors.csv,,,,
Industrial,Industry_Fertilizers_Non-energetic,Weekly,EU,hourly_fertilizer_production_factors.csv,,,,
Industrial,Industry_Food_Energetic,Weekly,EU,,get_industrial_profile,,Name,
Industrial,Industry_Metals_Energetic,Weekly,EU,,get_industrial_profile,,Name,
Industrial,Industry_Others_Energetic,Weekly,EU,,get_industrial_profile,,Name,
Industrial,Industry_Others_Non-energetic,Weekly,EU,,get_industrial_profile,,Name,
Industrial,Industry_Paper_Energetic,Weekly,EU,,get_industrial_profile,,Name,
Industrial,Industry_Refineries_Energetic,Weekly,EU,,get_industrial_profile,,Name,
Industrial,Industry_Refineries_Non-energetic,Weekly,EU,,get_industrial_profile,,Name,
Industrial,Industry_Steel_Energetic,Weekly,EU,,get_industrial_profile,,Name,
Tertiary,Buildings_Appliances_Energetic,Weekly,EU,,appliance_profiles,,"sector, total_value",
Tertiary,Buildings_Space heating & hot water_Energetic,Yearly,Country,,,,,split this into space and water heating. Methodology: use today's split
Tertiary,Buildings_Cooling_Energetic,Yearly,Country,,space_cooling_profiles,,sector,
Residential,Households_Space heating_Energetic,Yearly,Country,,residential_heating_profiles,,subsector,
Residential,Households_Cooling_Energetic,Yearly,Country,,space_cooling_profiles,,sector,
Residential,Households_Hot water_Energetic,Weekly,EU,,residential_heating_profiles,,subsector,
Residential,Households_HHP Hot water_Energetic,Weekly,EU,,residential_heating_profiles,,subsector,
Residential,Households_HHP Space heating_Energetic,Yearly,Country,,residential_heating_profiles,,subsector,
Residential,Households_Appliances_Energetic,Weekly,EU,,appliance_profiles,,"sector, total_value",
Transport,Transport_Cars_Energetic,Weekly,EU,Demand_hourly_patterns\Profile_Passanger.csv,,,,
Transport,Transport_Busses_Energetic,Weekly,EU,Demand_hourly_patterns\Profile_Buses.csv,,,,
Transport,Transport_Trucks_Energetic,Weekly,EU,Demand_hourly_patterns\Profile_HeavyGoods.csv,,,,
Transport,Transport_Vans_Energetic,Weekly,EU,Demand_hourly_patterns\Profile_Passanger.csv,,,,
Transport,Transport_Passenger trains_Energetic,Weekly,EU,Demand_hourly_patterns\Profile_Trains.csv,,,,
Transport,Transport_Freight trains_Energetic,Weekly,EU,Demand_hourly_patterns\Profile_HeavyGoods.csv,,,,
Transport,Transport_Ships_Energetic,Yearly,EU,Demand_hourly_patterns\Hourly_Shipping_Demand_Factors.csv,,,,
Transport,Transport_Planes_Energetic,Yearly,Country,,create_aviation_template,,Node,
Transport,Transport_Others_Energetic,Weekly,EU,,,flat_profile,,
Transport,International transport_International aviation_Energetic,Yearly,Country,Profile_HeavyGoods.csv,,,,
Transport,International transport_International shipping_Energetic,Yearly,EU,Hourly_Shipping_Demand_Factors.csv,,,,
Transport,AI_Data_Centers,Weekly,EU,AI_Data_Center_Demand_Profile_2050.csv,,,,
