Hour,Industry_Aluminium_Energetic,Industry_Chemicals_Energetic,Industry_Chemicals_Non-energetic,Industry_Food_Energetic,Industry_Metals_Energetic,Industry_Paper_Energetic,Industry_Refineries_Energetic,Industry_Refineries_Non-energetic,Industry_Steel_Energetic
1,0.031670061,0.031670061,0.031670061,0,0.031670061,0.101832994,0.024439919,0.024439919,0.031670061
2,0.03503055,0.03503055,0.03503055,0,0.03503055,0.101832994,0.024439919,0.024439919,0.03503055
3,0.038187373,0.038187373,0.038187373,0,0.038187373,0.101832994,0.024439919,0.024439919,0.038187373
4,0.04114053,0.04114053,0.04114053,0,0.04114053,0.101832994,0.061099796,0.061099796,0.04114053
5,0.04389002,0.04389002,0.04389002,0,0.04389002,0.101832994,0.097759674,0.097759674,0.04389002
6,0.046435845,0.046435845,0.046435845,0,0.046435845,0.101832994,0.097759674,0.097759674,0.046435845
7,0.048778004,0.048778004,0.048778004,0.050916497,0.048778004,0.101832994,0.093686354,0.093686354,0.048778004
8,0.050916497,0.050916497,0.050916497,0.050916497,0.050916497,0.101832994,0.091649695,0.091649695,0.050916497
9,0.052851324,0.052851324,0.052851324,0.050916497,0.052851324,0.101832994,0.097759674,0.097759674,0.052851324
10,0.054582485,0.054582485,0.054582485,0.050916497,0.054582485,0.101832994,0.024439919,0.024439919,0.054582485
11,0.05610998,0.05610998,0.05610998,0.050916497,0.05610998,0.101832994,0.024439919,0.024439919,0.05610998
12,0.057433809,0.057433809,0.057433809,0.050916497,0.057433809,0.101832994,0.024439919,0.024439919,0.057433809
13,0.061099796,0.061099796,0.061099796,0.050916497,0.061099796,0.101832994,0.024439919,0.024439919,0.061099796
14,0.06101833,0.06101833,0.06101833,0.050916497,0.06101833,0.101832994,0.024439919,0.024439919,0.06101833
15,0.060773931,0.060773931,0.060773931,0.050916497,0.060773931,0.101832994,0.024439919,0.024439919,0.060773931
16,0.060183299,0.060183299,0.060183299,0.050916497,0.060183299,0.101832994,0.024439919,0.024439919,0.060183299
17,0.059470468,0.059470468,0.059470468,0.050916497,0.059470468,0.101832994,0.024439919,0.024439919,0.059470468
18,0.058553971,0.058553971,0.058553971,0.050916497,0.058553971,0.101832994,0.024439919,0.024439919,0.058553971
19,0.057433809,0.057433809,0.057433809,0.050916497,0.057433809,0.101832994,0.040733198,0.040733198,0.057433809
20,0.05610998,0.05610998,0.05610998,0.050916497,0.05610998,0.101832994,0.024439919,0.024439919,0.05610998
21,0.054582485,0.054582485,0.054582485,0.050916497,0.054582485,0.101832994,0.024439919,0.024439919,0.054582485
22,0.052851324,0.052851324,0.052851324,0,0.052851324,0.101832994,0.024439919,0.024439919,0.052851324
23,0.050916497,0.050916497,0.050916497,0,0.050916497,0.101832994,0.024439919,0.024439919,0.050916497
24,0.048778004,0.048778004,0.048778004,0,0.048778004,0.101832994,0.028513238,0.028513238,0.048778004
