Parent Class,Child Class,Collection,Parent Category,Child Category
Generator,Fuel,Generator.Fuels,Bio Fuels,Bio Fuels
Generator,Fuel,Generator.Fuels,Gas,Gas
Generator,Fuel,Generator.Fuels,Nuclear,Nuclear
Generator,Fuel,Generator.Fuels,Nuclear SMR,Nuclear
Generator,Start Fuel,Generator.Start Fuels,Bio Fuels,Bio Fuels
Generator,Start Fuel,Generator.Start Fuels,Nuclear,Nuclear
Generator,Start Fuel,Generator.Start Fuels,Nuclear SMR,Nuclear
Generator,Head Storage,Generator.Head Storage,Pump Storage - closed loop,Hydro Head
Generator,Head Storage,Generator.Head Storage,RoR and Pondage,Hydro Head
Generator,Head Storage,Generator.Head Storage,Reservoir,Hydro Head
Generator,Head Storage,Generator.Head Storage,Pump Storage - open loop,Hydro Head
Generator,Tail Storage,Generator.Tail Storage,Pump Storage - closed loop,Hydro Tail
Generator,Tail Storage,Generator.Tail Storage,Pump Storage - open loop,Hydro Tail
Generator,Node,Generator.Nodes,Other RES,Electricity
Generator,Node,Generator.Nodes,Onshore Wind Expansion,Electricity
Generator,Node,Generator.Nodes,Rooftop Solar Tertiary,Tertiary
Generator,Node,Generator.Nodes,Onshore Wind,Electricity
Generator,Node,Generator.Nodes,Rooftop Tertiary Solar Expansion,Tertiary
Generator,Node,Generator.Nodes,Pump Storage - closed loop,Pump Storage - closed loop
Generator,Node,Generator.Nodes,Solar PV Expansion,Electricity
Generator,Node,Generator.Nodes,DSR Industry,Industrial
Generator,Node,Generator.Nodes,Offshore Wind Radial,Electricity
Generator,Node,Generator.Nodes,Solar PV,Electricity
Generator,Node,Generator.Nodes,RoR and Pondage,RoR and Pondage
Generator,Node,Generator.Nodes,Bio Fuels,Electricity
Generator,Node,Generator.Nodes,Other Non RES,Industrial
Generator,Node,Generator.Nodes,Rooftop Residential Solar Expansion,Residential
Generator,Node,Generator.Nodes,Solar Thermal,Electricity
Generator,Node,Generator.Nodes,Reservoir,Reservoir
Generator,Node,Generator.Nodes,DSR Tertiary,Tertiary
Generator,Node,Generator.Nodes,Pump Storage - open loop,Pump Storage - open loop
Generator,Node,Generator.Nodes,Rooftop Solar Residential,Residential
Generator,Node,Generator.Nodes,Gas,Electricity
Generator,Node,Generator.Nodes,Nuclear,Electricity
Generator,Node,Generator.Nodes,Offshore Wind Radial Fixed Bottom,Electricity
Generator,Node,Generator.Nodes,Offshore Wind Hub Fixed Bottom,Offshore Grid
Generator,Node,Generator.Nodes,Z2DR Solar PV,Industrial
Generator,Node,Generator.Nodes,Z2DR Onshore Wind,Industrial
Generator,Node,Generator.Nodes,H2 Imports,H2 Imports
Generator,Node,Generator.Nodes,H2 Imports,Electricity
